family_base,knob_variant,ratio_variant,pipeline,runs_total_x,infeasible_runs_x,feasible_runs_x,fallback_mean,fallback_sem,infeasible_rate_x,runs_total_y,infeasible_runs_y,feasible_runs_y,penalty_mean,penalty_sem,infeasible_rate_y,_x
load,overload,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,95.08,0.3217807594354534,0.0,50,0,50,5.86,0.3522638157948774,0.0,overload
load,overload,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,96.08,0.3243077399694334,0.0,50,0,50,6.76,0.45853359879564964,0.0,overload
load,overload,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,95.98,0.3596937472861249,0.0,50,0,50,6.32,0.4124986085319759,0.0,overload
load,overload,off50_on50,MILP+CostAwareBestFit,50,2,48,94.5,0.32068189757550103,0.04,50,2,48,100.04166666666667,0.36094627079648756,0.04,overload
load,overload,off50_on50,MILP+DynamicLearning,50,23,27,98.48148148148148,0.3971779738801336,0.46,50,23,27,108.74074074074075,0.9330777925395413,0.46,overload
load,overload,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,94.3,0.34076744119647323,0.0,50,0,50,97.96,0.3854072852323942,0.0,overload
load,overload,off50_on50,UtilizationPriced+DynamicLearning,50,11,39,97.12820512820512,0.4255337002715347,0.22,50,11,39,105.74358974358974,0.722417172047818,0.22,overload
load,overload,off50_on50,UtilizationPriced+PrimalDual,50,6,44,97.06818181818181,0.34315679031708896,0.12,50,6,44,104.93181818181819,0.5155076392073225,0.12,overload
load,underload,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,MILP+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
